,Class,ID,Utterance
56,anger,dia901_utt4.wav,get  cantiet to gogirllov go
57,anger,dia632_utt5.wav,so adam wariads
58,anger,dia759_utt10.wav,what wom i
59,anger,dia693_utt5.wav,but you tell me something i don't know
60,anger,dia996_utt17.wav,it's not the man since you has back words
61,anger,dia182_utt9.wav,
62,anger,dia123_utt4.wav,it's up on a
63,anger,dia426_utt2.wav,it really wasn't right and and i want to make it up to you so im i brought you something that i think you'r really enjoy
64,anger,dia78_utt2.wav,ne way till they got here
65,anger,dia374_utt8.wav,eery second race of derl
66,anger,dia778_utt2.wav,but you might spend some time on my sad carrya s be killing me to day
67,anger,dia312_utt9.wav,
68,anger,dia786_utt2.wav,a straidy whi doesn't she want the brow
69,anger,dia722_utt2.wav,tut  wuts in state dont pay i just want fories
70,anger,dia352_utt3.wav,you will care about it because my care about igot it
71,anger,dia794_utt6.wav,at i can't imagine spending my life with any wonan
72,anger,dia830_utt2.wav,watt yo lady repli
73,anger,dia234_utt6.wav,stopp making candy
74,anger,dia212_utt7.wav,because their nerves are rolly deadened from being so stupid
75,anger,dia395_utt4.wav,lirapit dra
76,anger,dia888_utt1.wav,you go back out are you going to be dead ross
77,anger,dia707_utt12.wav,inot only neberd bunny look over their dew e
78,anger,dia431_utt12.wav,would we there a high fane ber the stupid cetra
79,anger,dia148_utt17.wav,tat i know all about ship
80,anger,dia451_utt1.wav,for the all come  but of is enough he
81,anger,dia839_utt1.wav,making wit my now
82,anger,dia1018_utt13.wav,he
83,anger,dia189_utt6.wav,go what hel you be
84,anger,dia154_utt6.wav,i have been down in your store for twenty lettils trying to get a tie
85,anger,dia304_utt10.wav,ot the eunuchs and arally lay the chiles end around te
86,anger,dia829_utt0.wav,then by you r tin sit's good money a that doesn't change the fand that this is an evil blood sucking harperit machine
87,anger,dia317_utt14.wav,oh kay i can't just be away to kill time will you meet some one better
88,anger,dia337_utt18.wav,rist that an i
89,anger,dia188_utt3.wav,now you  no one you not get a sice me into
90,anger,dia148_utt18.wav,we bought a haboche together than he ran off and got married and things got pretty ugly
91,anger,dia509_utt4.wav,they're not roster just saving them for the important peopl ka would would if i was the president
92,anger,dia961_utt3.wav,not over
93,anger,dia195_utt8.wav,dm i cannot believe i took her of my list
94,anger,dia908_utt14.wav,so gre wat ato i ha dot look a may jo o pon to anted to come up her and look for some stupid burger chain com and
95,anger,dia182_utt3.wav,you should be this is all your fault you meddled in our relationship
96,anger,dia716_utt4.wav,and if you find the only person with any appreciation of the sanctity of the ritten word that anthe a third defended myself
97,anger,dia529_utt3.wav,ross i am telling you she is using you to get back at me b
98,anger,dia554_utt0.wav,why aren't you home yet
99,anger,dia518_utt3.wav,because i sureis hol can't figure it out
100,anger,dia817_utt7.wav,usus john ter
101,anger,dia990_utt19.wav,get off
102,anger,dia755_utt1.wav,i going to tell you i's a bad man who wokes ol his leg
103,anger,dia615_utt9.wav,like joy's constant knuckle cracking isn't annoy
104,anger,dia717_utt12.wav,maybe cases all your fault now he loves ar isget to marry her and this is all your faaults
105,anger,dia431_utt13.wav,well it's right by my house all right then
106,anger,dia28_utt1.wav,too
107,anger,dia596_utt0.wav,only in eighte en were the stuff of gettin nether ca
108,anger,dia1013_utt3.wav,t wo no what you don't know the sister noin no mony mastero thi is te
109,anger,dia908_utt13.wav,jo wri wi nal by
110,anger,dia11_utt1.wav,and now i really are let lets dont a's ont as dou
111,anger,dia884_utt8.wav,a greasiest thing is i just tay a whole piece of myself
112,anger,dia30_utt14.wav,o geg i'll give you one chance to change my mind got one minute
113,anger,dia1005_utt20.wav,
114,anger,dia901_utt0.wav,i all s it was  do you think hi's parls o nice
115,anger,dia917_utt3.wav,no
116,anger,dia6_utt18.wav,if gode fell sleepy
117,anger,dia518_utt1.wav,but why don't you tell me what e's gois to be ha
118,anger,dia918_utt10.wav,cever is a great name
119,anger,dia874_utt13.wav,wena atim not to saying that you shouldn't  have a bar
120,anger,dia946_utt11.wav,m
121,anger,dia745_utt10.wav,a i do enjoy it taja it wasn't mean
122,anger,dia831_utt4.wav,i get there oh y i get that big time and i'm happy
123,anger,dia518_utt0.wav,haby is that what i suppose to be vick heaby
124,anger,dia634_utt7.wav,
125,anger,dia758_utt4.wav,no she touch my
126,anger,dia599_utt4.wav,e all the eighbor cano avalya that was de
127,anger,dia366_utt5.wav,t there im so sorry there or you will cay here
128,anger,dia828_utt15.wav,hay hay that's not the rule that you know it
129,anger,dia714_utt5.wav,ere and instead of reading it people are whell they are rhumbling around in front of it
130,anger,dia504_utt12.wav,oufraid he go and riht ou
131,anger,dia955_utt6.wav,ball ynolgousto bawle
132,anger,dia754_utt4.wav,tat ef the doctin
133,anger,dia15_utt20.wav,or i wirl accade
134,anger,dia342_utt13.wav,chose you jackas a
135,anger,dia523_utt21.wav,he made a move on m
136,anger,dia231_utt7.wav,i saw him alf ten min
137,anger,dia761_utt0.wav,did you just lik
138,anger,dia64_utt11.wav,does call in it not mean anything any more
139,anger,dia285_utt7.wav,gianzo
140,anger,dia888_utt17.wav,wih i os ge unbonini goe
141,anger,dia1012_utt9.wav,grown te little boy
142,anger,dia295_utt5.wav,thou a got
143,anger,dia516_utt0.wav,oga en locks down i've to go
144,anger,dia480_utt9.wav,
145,anger,dia206_utt11.wav,sign ma te
146,anger,dia50_utt15.wav,
147,anger,dia153_utt12.wav,i couldt lady obo
148,anger,dia930_utt15.wav,hea talking about bitge
149,anger,dia329_utt4.wav,n
150,anger,dia298_utt0.wav,lagg
151,anger,dia232_utt7.wav,says there's something fun a mentally unveriable about me
152,anger,dia39_utt15.wav,o hey how about this one i it's sat oo script you know i don't know why my character likes you either a mun says in a script here that you're bich
153,anger,dia841_utt4.wav,t this beautiful place and a just put our names down for fun
154,anger,dia312_utt17.wav,no  i don't care not playing one  one strip poker with you for bracg
155,anger,dia698_utt2.wav,yi still love me
156,anger,dia829_utt2.wav,i disns
157,anger,dia29_utt7.wav,you are not supposed to give people advice
158,anger,dia39_utt18.wav,there
159,anger,dia996_utt15.wav,
160,anger,dia932_utt1.wav,stop going fom my stop
161,anger,dia887_utt11.wav,erteao
162,anger,dia254_utt6.wav,nod
163,anger,dia508_utt19.wav,ame nuleso mens
164,anger,dia556_utt4.wav,what a the kick man
165,anger,dia503_utt11.wav,sas i a
166,anger,dia996_utt13.wav,and what he saying is now or never
167,anger,dia173_utt4.wav,we are switching at the next rest of ind you are going to tryve the whole way back that would be your punishment you ntreading  leep ar
168,anger,dia407_utt7.wav,ain  the new old dar
169,anger,dia21_utt6.wav,no sleep last night
170,anger,dia902_utt5.wav,i rerely wish thathe would
171,anger,dia54_utt2.wav,maybe well e its olf so a haw music tis non let's of for genla c
172,anger,dia918_utt9.wav,is has got to sti
173,anger,dia351_utt9.wav,ren you get her in trubber than you refuse to marry
174,anger,dia1027_utt5.wav,wellots of people look are you coming to the meorial service or not
175,anger,dia15_utt18.wav,are we a little old for this
176,anger,dia451_utt4.wav,cittus walk away at that glane fuller hour
177,anger,dia595_utt0.wav,ci kick me really hard on the
178,anger,dia200_utt5.wav,can i tell you somethintan pama little mattered him now that tell you something
179,anger,dia513_utt4.wav,i
180,anger,dia1016_utt14.wav,ell i'm sorry your car broke down phoebes but i've a little too busy with some of my real friends write nap but please can't let me now you got home safely yor
181,anger,dia99_utt7.wav,a a is haw  slumpy and immature
182,anger,dia792_utt8.wav,prare that part of mo
183,anger,dia596_utt6.wav,i think ho' just moved it's really poking me
184,anger,dia747_utt10.wav,last yeear luciments now now this can
185,anger,dia505_utt14.wav,do you realize i have a clasfora for istrudents
186,anger,dia151_utt8.wav,o affect you really
187,anger,dia512_utt8.wav,and then do you remember going into my purse and stealing the phone
188,anger,dia431_utt11.wav,from the far
189,anger,dia329_utt1.wav,this is ridiculous mu i in we shall be tacking you
190,anger,dia317_utt10.wav,you could councel plans with friends if is possibility for sexs
191,anger,dia74_utt6.wav,i don no no my maychance
192,anger,dia592_utt12.wav,olt wat ideas in his head i am in a suver
193,anger,dia615_utt8.wav,big deal
194,anger,dia867_utt7.wav,a that yet that you know i hate practical jokes the mea and their stupid and and i don't want my son learning
195,anger,dia394_utt0.wav,i can't believe you spend my wedding fun on the b
196,anger,dia138_utt0.wav,ll pap i have to tell you something iha never den itrudder tired
197,anger,dia519_utt1.wav,do you know what just happened
198,anger,dia504_utt13.wav,coberial b
199,anger,dia844_utt11.wav,i'm tad and i just poke here a month ago and you don't really scarce me
200,anger,dia625_utt13.wav,ay i'l have the money to take it o fancy place like tha
201,anger,dia548_utt5.wav,
202,anger,dia45_utt3.wav,now on i have no first name
203,anger,dia121_utt5.wav,stoa mag such o bes and mgan those off you gopet us te watch make a girls dance around
204,anger,dia853_utt12.wav,ai ont you care enough to make up that loado crap look i
205,anger,dia596_utt16.wav,bu no acl ral man wouldn't just run to the hosp but all nowali wal i try ou
206,anger,dia463_utt5.wav,when i forgotten wit a taste like o qy
207,anger,dia755_utt5.wav,anto the canan miro sgrod
208,anger,dia287_utt2.wav,no no no til to ear bail on me
209,anger,dia996_utt4.wav,but do you think my sisters keenly timy little brain opperheadds that mi dont join a time out of their lives to find thousands of miles to be here
210,anger,dia39_utt6.wav,
211,anger,dia138_utt15.wav,you're telling me there's nothing going on between you and two
212,anger,dia428_utt1.wav,i want to be with sir i like
213,anger,dia599_utt5.wav,but by the time i got to it was only couple pieces left
214,anger,dia431_utt14.wav,clumming to home and basking the trimes of my central hark idea
215,anger,dia352_utt1.wav,s but  looky at the witness and ind not happy o mo
216,anger,dia648_utt2.wav,an  ap pi geur low my ay how god my a
217,anger,dia254_utt3.wav,
218,anger,dia351_utt3.wav,
219,anger,dia496_utt7.wav,oh ver you seen a cark com by your nos
220,anger,dia728_utt0.wav,i just walked in the bathero and saw cafy naked it was like torture
221,anger,dia448_utt8.wav,my god i w bro i ro i lo brot a
222,anger,dia738_utt6.wav,canly mamm and dad or selling a how
223,anger,dia312_utt2.wav,oi had you the one who  ended it rememb
224,anger,dia39_utt17.wav,that atespect it does in mine
225,anger,dia546_utt8.wav,to beg is any bodythin co be mad
226,anger,dia1016_utt18.wav,ay se can either soak here for half an hour and then go pick them up ifyou save a spot time and soak in the car or ri o is
227,anger,dia874_utt8.wav,os think i should give up the bay
228,anger,dia261_utt5.wav,announca mad it's o
229,anger,dia786_utt3.wav,out of the mment shes pray te
230,anger,dia464_utt20.wav,all you had to do was buy the cart
231,anger,dia1017_utt5.wav,wh i think is very brave e youself an
232,anger,dia154_utt4.wav,what's going on by god tell you what's going on
233,anger,dia129_utt7.wav,the declined cats
234,anger,dia236_utt15.wav,i that's it o k amout here i'm not goingto be embarrassed any more an
235,anger,dia592_utt10.wav,obviously lost his mind
236,anger,dia760_utt1.wav,no i i should get going
237,anger,dia486_utt12.wav,matter
238,anger,dia448_utt3.wav,i watch the toilet seventen times a
239,anger,dia32_utt14.wav,a woman i think it's a feminist as she guise guise
240,anger,dia530_utt12.wav,so jus tell me the truth
241,anger,dia707_utt11.wav,set it down over there and then you could make a contribut
242,anger,dia855_utt1.wav,just when iast question tim a un you friends ana beov yer all time wi party an and hang an oup oh don't worry i'm not really a parky
243,anger,dia113_utt1.wav,you always have to bring him here
244,anger,dia181_utt0.wav,starkin how was i thinking at dinner you on supeesal and both always ordered both
245,anger,dia895_utt2.wav,halisaa
246,anger,dia459_utt1.wav,r i
247,anger,dia448_utt9.wav,my god i ge by the boy
248,anger,dia699_utt1.wav,i wa now i lie
249,anger,dia980_utt5.wav,there's a matter with you how did thin jo is gog to react when he finds thout you blow ufp his sister in the ladder well
250,anger,dia686_utt5.wav,donl do myself i not get a scrow it ap
251,anger,dia302_utt3.wav,can't tell him you can't go up to a go you barely know and talk about his
252,anger,dia588_utt0.wav,i can leif i did this whan idiot
253,anger,dia232_utt5.wav,looking hypothetically why won't i be married with a portun
254,anger,dia295_utt17.wav,if i
255,anger,dia261_utt4.wav,a ao but i'm still in ma mand you
256,anger,dia696_utt5.wav,case she keps  line to
257,anger,dia905_utt9.wav,
258,anger,dia393_utt6.wav,god go gog gen an yer a o
259,anger,dia329_utt7.wav,o fiby i am man
260,anger,dia704_utt1.wav,o wa on e wiglig o every n onjust now down come down clot
261,anger,dia463_utt10.wav,noa forget we are just pug
262,anger,dia595_utt3.wav,o nock ineter thi any
263,anger,dia236_utt5.wav,ar it look wee not really to fy that are you don't you think you embarrass me enough for one day
264,anger,dia112_utt3.wav,ok i will find some place else to do the rest of my appointments i just don't know what the big dil is
265,anger,dia637_utt2.wav,bub haw so that's ta way it's goin to beat ho yon i can break the rules till y
266,anger,dia996_utt16.wav,oh thereis no horr in mine why is brog with a fair
267,anger,dia456_utt6.wav,they put you and geral a little jam between the dars as
268,anger,dia1016_utt19.wav,we can save us beth time and silk in the car or rigily s
269,anger,dia477_utt15.wav,nine times
270,anger,dia786_utt1.wav,you kidden mad
271,anger,dia665_utt18.wav,i know whan e should get drumk that workn for a bunche goes o my high school
272,anger,dia385_utt0.wav,i'd seit some neithr ones to hear look and shot
273,anger,dia963_utt6.wav,and just broke down wost thing she do
274,anger,dia1025_utt14.wav,if you don't tell them than i will
275,anger,dia933_utt14.wav,a botery
276,anger,dia828_utt6.wav,no sods no save augay
277,anger,dia295_utt16.wav,i don't have time to convince you because he's only here for four hours and i'm going to go
278,anger,dia793_utt5.wav,ywar i was just think i mean if you'd gone to val or if you gots ha been with your family or if you didn't have scyphylis and stuff
279,anger,dia428_utt6.wav,amitnitit that sajage wi
280,anger,dia39_utt4.wav,ha talked to you and nothin
281,anger,dia123_utt10.wav,h i respectfully disagree
282,anger,dia254_utt1.wav,o nat yo man at comli can habit
283,anger,dia454_utt2.wav,fine then you tell roger cause he was really looking forward to this
284,anger,dia596_utt15.wav,ne is really hor its osco
285,anger,dia303_utt0.wav,
286,anger,dia1022_utt10.wav,soing wat warre you doing going into my bed
287,anger,dia445_utt17.wav,it's it because that tak rossbol marry
288,anger,dia200_utt1.wav,no he blew a sirb
289,anger,dia1007_utt11.wav,terry ar e eye that girl over there
290,anger,dia696_utt4.wav,was she just called and said that she was going to be workingway
291,anger,dia279_utt13.wav,no
292,anger,dia623_utt2.wav,i caught the company vincenter in that little care
293,anger,dia457_utt2.wav,no no do no o ne don't you it i may not for me thats of farver fabby rushes here for his just ben o
294,anger,dia272_utt3.wav,and you are your rapest no
295,anger,dia9_utt13.wav,pok at pure evil horning and alow araduntat spar
296,anger,dia1025_utt2.wav,ne te glater tof
297,anger,dia1036_utt10.wav,week
298,anger,dia446_utt14.wav,i'm runing out a flace ta i an touch him
299,anger,dia523_utt12.wav,by
300,anger,dia792_utt12.wav,he was keeping my sister at a dungeon
301,anger,dia351_utt13.wav,well why not sek te tmano time with the
302,anger,dia546_utt9.wav,people last time there was an empty or the contators lying around after class let's not hat that happen again
303,anger,dia961_utt1.wav,a mamma and you' get your turn
304,anger,dia794_utt3.wav,ogar i said rachell's name but het didn't mean anything o cis
305,anger,dia1025_utt5.wav,o hinte to me be drinking a while to
306,anger,dia699_utt12.wav,omen a te tother tite o
307,anger,dia598_utt2.wav,teno follity the ga
308,anger,dia841_utt16.wav,i'm igon to joy that you a you're back  really worried about you
309,anger,dia248_utt5.wav,again next homdont dont shot another day we so tose bank tobaby
310,anger,dia182_utt6.wav,e god stoppe with the plan
311,anger,dia38_utt0.wav,you kissed another woman
312,anger,dia81_utt13.wav,
313,anger,dia801_utt7.wav,i really don't squeeze it so hard
314,anger,dia265_utt0.wav,i dan cannot know me that clods to me a
315,anger,dia163_utt8.wav,that any the a complat fellow who's unlikely to take a wife
316,anger,dia664_utt4.wav,and this is like swimming after you eat pick up yo rou
317,anger,dia431_utt16.wav,you know i've been made hin to talk too about this full little new yorpean thing you've got going on and i just need to tell you it makes me very uncomfortable and i just not domage
318,anger,dia525_utt4.wav,si
319,anger,dia625_utt11.wav,ay wai to second now
320,anger,dia279_utt4.wav,that's easy for her to say you aren't almost just killed
321,anger,dia508_utt22.wav,o  little folk o hav s
322,anger,dia666_utt4.wav,apes the sky cheeve closing down all our favourite places where we can ease
323,anger,dia935_utt2.wav,i aliv tas is like the horse night ever
324,anger,dia83_utt2.wav,the sheller you
325,anger,dia317_utt9.wav,lunda doesn't give you the right to ditch me
326,anger,dia1022_utt16.wav,sjust a halthy expression of female sexuality which by the way is something that you will never understand
327,anger,dia538_utt3.wav,you know it's not one of a kind a twin
328,anger,dia720_utt11.wav,rea i don'tknow how much more this i can take did you know he taked over my bab watchd tape with some show abum bum
329,anger,dia772_utt1.wav,not so fast westing
330,anger,dia700_utt3.wav,just was i a ee
331,anger,dia327_utt6.wav,and then you tut off your energy mask and you were camerdias
332,anger,dia758_utt3.wav,he touched my fanny
333,anger,dia151_utt16.wav,you are asking me to be your min
334,anger,dia366_utt9.wav,i don't gow a million
335,anger,dia251_utt0.wav,i cannot do this with my left hand would you please help me with this two
336,anger,dia328_utt4.wav,you i throw myself at you and you say no how dare you
337,anger,dia977_utt6.wav,and not jealous
338,anger,dia771_utt16.wav,i know ai i
339,anger,dia963_utt3.wav,i always know she liked him
340,anger,dia168_utt9.wav,no there is noway i am leaving this room looking like
341,anger,dia46_utt2.wav,no asas well a two three bore
342,anger,dia997_utt9.wav,
343,anger,dia1025_utt7.wav,'ve been so slow a catt you doit ane f
344,anger,dia637_utt1.wav,unasually i sent the flowers and before the actual day so tyc
345,anger,dia861_utt3.wav,im glad me cied ashort tit your hair
346,anger,dia1011_utt11.wav,hiy as my lids
347,anger,dia623_utt3.wav,buti caught my one wine and they gowled at me if this is an unemergency thon what is
348,anger,dia637_utt6.wav,no what roskil luck to let you get away with them
349,anger,dia696_utt6.wav,sait you know on uns getting o over there and i'm confronting them right now
350,anger,dia572_utt19.wav,you want to live to see your bady doct you talk to my husband like that you stupid baston
351,anger,dia926_utt4.wav,no i keep trying you knowhend i can get out joy i have to
352,anger,dia853_utt11.wav,because because i its its on you it itd be like you having this guitar and and never playing it lookit this guitar ants to be played
353,anger,dia210_utt2.wav,te picture or my wife in your tack
354,anger,dia887_utt6.wav,noneswanmer you attacked your x wife
355,anger,dia803_utt0.wav,you're a need of wanli
356,anger,dia707_utt10.wav,wile now he dou dranks near the back
357,anger,dia150_utt2.wav,o you think you can knock up my daughter and then not marry  kill you
358,anger,dia109_utt3.wav,o it's not my baby a
359,anger,dia237_utt2.wav,so i don't read as many important looks as you do and i don't write trick poems that seem to be about one thing but are actuall about something else you know lit i get excited about suen stuff
360,anger,dia184_utt21.wav,and he here be wor ther when you saw up that night ti door that bi bagray
361,anger,dia167_utt2.wav,oh ye i sam with riming word to i never thought of that before
362,anger,dia497_utt1.wav,were you wrong o qay you wron
363,anger,dia532_utt13.wav,interestin rather obstacles hot nannie and me against the world this e kiund of stof great novels are made
364,anger,dia843_utt5.wav,my parents spent the money for our wedd
365,anger,dia28_utt0.wav,ketty i heard three
366,anger,dia599_utt2.wav,jole
367,anger,dia994_utt6.wav,were you were you not on a day cruise
368,anger,dia89_utt0.wav,sats no had to stay out all night before i go to and sleep clenic so tire
369,anger,dia437_utt0.wav,er e check it otim unbelievi
370,anger,dia671_utt17.wav,
371,anger,dia1017_utt3.wav,tink of you just kept this to yourself none of this would have happened
372,anger,dia126_utt12.wav,shut out displaces the whole
373,anger,dia963_utt2.wav,i knew him
374,anger,dia964_utt9.wav,
375,anger,dia679_utt13.wav,i cant even use chanl a's computers to find poor
376,anger,dia761_utt7.wav,fine
377,anger,dia929_utt1.wav,ets your thanksgiving too you know instead of watching fom all you could help
378,anger,dia554_utt1.wav,so ne wo
379,anger,dia51_utt8.wav,would you never have the time i mean i don't feel like gat you have a god friend any more wretch
380,anger,dia819_utt5.wav,secret tlere wance was that secret between one another wetoo much love and respect for ne another ah ah
381,anger,dia339_utt3.wav,and i ca
382,anger,dia571_utt13.wav,t his mouth loo a hanay
383,anger,dia32_utt13.wav,des
384,anger,dia588_utt5.wav,apparently oure not very good a
385,anger,dia235_utt0.wav,wemon amplaform ready to dance the world in the new milinium and the guy yells cut od
386,anger,dia256_utt2.wav,you like you haven't done ena
387,anger,dia699_utt3.wav,inc me sir thi laty play my quarter this is mie
388,anger,dia1025_utt9.wav,
389,anger,dia319_utt6.wav,and i feel like ive conquered the business world and i feel like i've conquered the intellectual world now i have the most beautiful woman in the world
390,anger,dia945_utt8.wav,it's not funny this is actually my jom
391,anger,dia658_utt11.wav,call her stoppin so testosteroni
392,anger,dia148_utt3.wav,a you get there i believe this piece of furniture was fin
393,anger,dia51_utt10.wav,me to ont  it my jobs and you can feel at you havea gurl for
394,anger,dia936_utt17.wav,goodhow it's too late you miss your chance
395,anger,dia438_utt0.wav,i
396,anger,dia960_utt9.wav,ket me those tomatoes i'l wen to show you what it should taste like won him
397,anger,dia983_utt2.wav,jurry the wedding is in less than an hour
398,anger,dia493_utt12.wav,
399,anger,dia770_utt10.wav,don't blame me for loying to night
400,anger,dia996_utt10.wav,anywhere that's hofty sai willi bin bo months an ros dan you understand this is all witing and talking about
401,anger,dia955_utt2.wav,me waited until the lasst minute so thatf i said yes he would know that i had nothing better to do than wait around for an ivitation to his stupid har
402,anger,dia445_utt15.wav,this is unacceptable rachel
403,anger,dia123_utt2.wav,
404,anger,dia412_utt14.wav,what kind of profit is that and you call yourself an account
405,anger,dia208_utt6.wav,well te am a that over paage
406,anger,dia156_utt3.wav,i may play the pol at times but a little more than just a pretty blond girl with an ass to bon qwhit
407,anger,dia327_utt0.wav,are you man of it you said i was borin bou
408,anger,dia933_utt12.wav,joy i don't think you supposed to go back ther
409,anger,dia254_utt9.wav,meal monic a geller hipe an bang
410,anger,dia1016_utt0.wav,ri
411,anger,dia795_utt7.wav,so never never
412,anger,dia853_utt9.wav,if you are not going to learn that a mide dispite a i'm sorry i'm just enough to take him back why w
413,anger,dia163_utt3.wav,ya richard
414,anger,dia405_utt4.wav,feeds
415,anger,dia831_utt0.wav,rossdy realize this is the first time in my life i am doing something i actually care about this is the first time in my life i'm doing somethin that i'm actually good at
416,anger,dia555_utt2.wav,isa
417,anger,dia772_utt3.wav,green  wiswa i just stop by say that you're not a real doctor wo brain it py
418,anger,dia573_utt10.wav,o i can easily get out on is but there's a chance you can get very very hard
419,anger,dia770_utt2.wav,thet were not a couple suckers
420,anger,dia12_utt11.wav,had the stalg working out again ther knew fifteen
421,anger,dia530_utt10.wav,o if you can help me find my father then you should
422,anger,dia804_utt3.wav,try of the surites put to half our own clagget
423,anger,dia6_utt5.wav,a give me somh pacifitics
424,anger,dia188_utt4.wav,oh sure i am but because you'll always have to be wheni
425,anger,dia237_utt5.wav,
426,anger,dia400_utt1.wav,oh but e was my could i not see this
427,anger,dia804_utt7.wav,wha you thon you just come in here make a bess a big man tha cover alls or come and clay to got five
428,anger,dia648_utt3.wav,may be su annoying yes
429,anger,dia54_utt7.wav,u rachels told me how much easier you've made all his unarm get yot to thet for me gos gos
430,anger,dia119_utt12.wav,i did not know that bayymonica
431,anger,dia260_utt1.wav,she cansell my namesay canselled on me
432,anger,dia456_utt8.wav,y i asked you to gord the ring y now i'm sorry but you know this ring isn better and manika never even saw the other war
433,anger,dia486_utt10.wav,the salks
434,anger,dia273_utt8.wav,tell me flal because i trust you  youre one of my best friend says you walked in on me while i was looking at reroshers
435,anger,dia997_utt3.wav,will li some ask worly's wait for me to ask
436,anger,dia801_utt8.wav,low
437,anger,dia699_utt2.wav,my hearta delight to fello
438,anger,dia50_utt1.wav,don't touch a mi i
439,anger,dia365_utt6.wav,am tedra regulations
440,anger,dia977_utt3.wav,no but you know ar dostoll see why she has to play with you that
441,anger,dia865_utt3.wav,used to work with her use to mim a relative and i hanon lided
442,anger,dia1007_utt10.wav,can't it's too late
443,anger,dia839_utt11.wav,and stop using my name
444,anger,dia54_utt23.wav,no carcely let's rog with you
445,anger,dia39_utt16.wav,you know i don't know why my character likes you either i mean it says in a scribt here that you're a bitch ee espect ir doez in mine
446,anger,dia902_utt15.wav,o chandler you can't keep your hands offer for one seco
447,anger,dia666_utt9.wav,ri there can't you say sorts later
448,anger,dia28_utt2.wav,
449,anger,dia867_utt1.wav,i have a bone trick wit deu
450,anger,dia513_utt3.wav,how can your genitals make funkls hey it's not a prefert quarrel just go pleaseyoayou
451,anger,dia405_utt1.wav,i can't fank you
452,anger,dia615_utt18.wav,oh you do do y
453,anger,dia51_utt7.wav,but i told you i didn't have the tm
454,anger,dia599_utt10.wav,min stol my newspaper teits like a crimoil
455,anger,dia445_utt19.wav,s iindians he says o damage goods
456,anger,dia833_utt4.wav,mind that is just noise
